category,sport,event_id,condition_id,title,slug,start_date,end_date,outcome_1,outcome_2,p1_close,p2_close,closed,winner,volume
tennis,atp,16934,0x0cb6c56fd77d03fb36570120f0e9acecad639c028f3626d1b9f80bbb0f2107cb,Australian Open: Alcaraz vs. Djokovic,australian-open-alcaraz-vs-djokovic,2025-01-20 18:14:51,2025-01-21 12:00:00,Alcaraz,Djokovic,0.32,0.68,1,Djokovic,99220.118401
tennis,atp,16933,0xff5b91d05b348dc0b44046e536b96dc6bafb3f76b5d96fa759d4c35ed603b5fa,Australian Open: Paul vs. Zverev,australian-open-paul-vs-zverev,2025-01-20 18:14:51,2025-01-21 12:00:00,Zverev,Paul,0.81,0.19,1,Zverev,25964.338084
tennis,atp,17018,0x55d5e55b27fc67bd54072877d09229fa83b2feeb7b70cbaadd6a68f5fb9f1912,Australian Open: Sinner vs. De Minaur,australian-open-sinner-vs-de-minaur,2025-01-21 17:51:10,2025-01-22 12:00:00,Sinner,De Minaur,0.945,0.055,1,Sinner,27721.827752
tennis,atp,17093,0x93f42263971abb137fe7ffd4db95852f7da248372449c21d586858ff2ea8ee11,Australian Open (W): Swiatek vs. Keys,australian-open-w-swiatek-vs-keys,2025-01-22 21:57:00,2025-01-23 12:00:00,Swiatek,Keys,0.75,0.25,1,Keys,67890.648675
tennis,atp,17094,0x3f9cc09206a0b0e4f5ebda7e308b906a25421c875745ccf82da93017742f364c,Australian Open: Sinner vs. Shelton,australian-open-sinner-vs-shelton,2025-01-22 21:57:00,2025-01-24 12:00:00,Sinner,Shelton,0.9755,0.0245,1,Sinner,68542.701077
tennis,atp,17092,0x7ce62cb18ae54b3411071ac2cd8e80ee3fb4cbd64daeb3ac67834ebbc22a97fa,Australian Open (W): Sabalenka vs. Badosa,australian-open-w-sabalenka-vs-badosa,2025-01-22 21:57:01,2025-01-23 12:00:00,Sabalenka,Badosa,0.975,0.025,1,Sabalenka,15837.052659
tennis,atp,17095,0x98e6b920eca0d9489fc40fc887565f544ca4c47de77e761f568d17919fc83ff4,Australian Open: Zverev vs. Djokovic,australian-open-zverev-vs-djokovic,2025-01-22 21:57:01,2025-01-24 12:00:00,Zverev,Djokovic,0.54,0.46,1,Zverev,84630.181214
tennis,atp,17176,0x1fc09959d23f49010067fd0e3670e0e5c0a244950a6048074863a0427046c541,Australian Open Final Doubles (W),australian-open-final-doubles-w,2025-01-24 20:12:52,2025-01-26 12:00:00,Siniakova/Townsend,Hsieh/Ostapenko,0.5,0.5,1,Siniakova/Townsend,492.148354
tennis,atp,17166,0x784584a0fd20badc05a310f44a0e7fc086bf49b165cda0e405492be041ec49af,Australian Open Final (M): Sinner vs. Zverev,australian-open-final-m-sinner-vs-zverev,2025-01-24 20:14:50,2025-01-26 12:00:00,Sinner,Zverev,0.95,0.05,1,Sinner,74037.644969
tennis,atp,17173,0x49eada78f6b32172c0a644c61d039d9a5b60603c81b7e5b8357cb915a5b3ffda,Australian Open Final Doubles (M),australian-open-final-doubles-m,2025-01-24 20:14:50,2025-01-25 12:00:00,Bolelli/Vavassori,Heliovaara/Patten,0.5,0.5,1,Heliovaara/Patten,699.389893
tennis,atp,17168,0x403025d3f111e37eec69b2e7c3fea65abbbdd84e8afaa14025e9950ba1d67120,Australian Open Final (W): Sabalenka vs. Keys,australian-open-final-w-sabalenka-vs-keys,2025-01-24 20:14:50,2025-01-25 12:00:00,Sabalenka,Keys,0.72,0.28,1,Keys,75849.112632
tennis,atp,21648,0x79115d859511e8c965f1b637fd93e688fef6fd8cfca9a2aa237e8cf073f7a178,Miami Open: Cerundolo vs Dimitrov,miami-open-cerundolo-vs-dimitrov,2025-03-26 17:29:40,2025-03-26 12:00:00,Cerundolo,Dimitrov,0.535,0.465,1,Dimitrov,20646.081292
